customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,28,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),76.42,2146.83,No
CUST-00001,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.84,489.11,No
CUST-00002,Male,0,No,Yes,16,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),110.03,1758.21,Yes
CUST-00003,Male,1,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),31.69,404.75,Yes
CUST-00004,Male,0,Yes,No,62,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),39.34,2426.39,No
CUST-00005,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.68,1507.82,No
CUST-00006,Male,1,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.75,2120.7,No
CUST-00007,Male,0,No,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.69,6905.63,No
CUST-00008,Male,1,No,No,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44.69,2658.22,No
CUST-00009,Female,1,No,No,65,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,32.23,2158.86,Yes
CUST-00010,Male,0,No,No,69,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.99,4081.4,No
CUST-00011,Male,1,Yes,No,49,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,116.17,5728.75,No
CUST-00012,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),19.11,650.79,No
CUST-00013,Male,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,68.4,1240.4,Yes
CUST-00014,Female,0,No,No,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,84.94,3129.98,No
CUST-00015,Male,1,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,98.67,6926.84,Yes
CUST-00016,Female,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,92.62,1375.01,No
CUST-00017,Female,0,Yes,Yes,24,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,25.44,626.86,No
